distrito;anno;Accidentes
CHAMBERI;2009;702
TETUAN;2009;655
CENTRO;2009;981
VILLADEVALLECAS;2009;272
HORTALEZA;2009;458
USERA;2009;408
SALAMANCA;2009;965
CIUDADLINEAL;2009;777
CHAMARTIN;2009;908
SANBLAS;2009;527
ARGANZUELA;2009;722
VILLAVERDE;2009;307
BARAJAS;2009;188
RETIRO;2009;635
CARABANCHEL;2009;807
PUENTEDEVALLECAS;2009;801
VICALVARO;2009;172
FUENCARRAL-ELPARDO;2009;675
MORATALAZ;2009;311
MONCLOA-ARAVACA;2009;766
LATINA;2009;620
RETIRO;2010;572
LATINA;2010;552
CHAMBERI;2010;676
PUENTEDEVALLECAS;2010;686
MORATALAZ;2010;268
ARGANZUELA;2010;690
SALAMANCA;2010;900
MONCLOA-ARAVACA;2010;739
VILLAVERDE;2010;300
CIUDADLINEAL;2010;767
HORTALEZA;2010;343
VICALVARO;2010;177
FUENCARRAL-ELPARDO;2010;636
VILLADEVALLECAS;2010;252
SANBLAS;2010;468
CENTRO;2010;1007
TETUAN;2010;608
CARABANCHEL;2010;696
BARAJAS;2010;135
CHAMARTIN;2010;858
USERA;2010;398
CARABANCHEL;2011;726
LATINA;2011;567
VILLAVERDE;2011;288
VICALVARO;2011;167
VILLADEVALLECAS;2011;237
SALAMANCA;2011;940
MORATALAZ;2011;269
SANBLAS;2011;505
ARGANZUELA;2011;654
USERA;2011;369
FUENCARRAL-ELPARDO;2011;643
MONCLOA-ARAVACA;2011;683
RETIRO;2011;658
PUENTEDEVALLECAS;2011;752
CIUDADLINEAL;2011;787
CENTRO;2011;1007
HORTALEZA;2011;391
TETUAN;2011;589
BARAJAS;2011;171
CHAMARTIN;2011;888
CHAMBERI;2011;712
RETIRO;2012;626
SANBLAS;2012;494
VICALVARO;2012;157
CARABANCHEL;2012;718
HORTALEZA;2012;367
VILLAVERDE;2012;293
LATINA;2012;548
ARGANZUELA;2012;631
CHAMBERI;2012;711
VILLADEVALLECAS;2012;238
MONCLOA-ARAVACA;2012;678
MORATALAZ;2012;286
BARAJAS;2012;159
FUENCARRAL-ELPARDO;2012;670
PUENTEDEVALLECAS;2012;713
CHAMARTIN;2012;841
CIUDADLINEAL;2012;711
CENTRO;2012;917
USERA;2012;378
TETUAN;2012;577
SALAMANCA;2012;1033
RETIRO;2013;593
USERA;2013;387
BARAJAS;2013;150
CARABANCHEL;2013;709
TETUAN;2013;594
HORTALEZA;2013;374
VILLADEVALLECAS;2013;250
CIUDADLINEAL;2013;750
PUENTEDEVALLECAS;2013;651
MORATALAZ;2013;282
LATINA;2013;530
ARGANZUELA;2013;631
SANBLAS;2013;518
CENTRO;2013;926
CHAMBERI;2013;715
FUENCARRAL-ELPARDO;2013;682
CHAMARTIN;2013;844
VICALVARO;2013;172
MONCLOA-ARAVACA;2013;702
SALAMANCA;2013;982
VILLAVERDE;2013;307
CIUDADLINEAL;2014;757
RETIRO;2014;621
CHAMBERI;2014;697
VICALVARO;2014;158
VILLADEVALLECAS;2014;272
FUENCARRAL-ELPARDO;2014;644
MONCLOA-ARAVACA;2014;677
VILLAVERDE;2014;288
PUENTEDEVALLECAS;2014;706
CARABANCHEL;2014;714
CHAMARTIN;2014;838
SALAMANCA;2014;981
HORTALEZA;2014;410
TETUAN;2014;645
LATINA;2014;583
BARAJAS;2014;146
MORATALAZ;2014;291
SANBLAS;2014;543
CENTRO;2014;939
USERA;2014;409
ARGANZUELA;2014;616
SANBLAS;2015;495
MONCLOA-ARAVACA;2015;664
LATINA;2015;583
USERA;2015;387
CARABANCHEL;2015;725
CENTRO;2015;929
TETUAN;2015;636
FUENCARRAL-ELPARDO;2015;639
RETIRO;2015;601
MORATALAZ;2015;272
CHAMARTIN;2015;904
SALAMANCA;2015;849
VILLADEVALLECAS;2015;255
HORTALEZA;2015;440
VILLAVERDE;2015;298
PUENTEDEVALLECAS;2015;751
CHAMBERI;2015;657
VICALVARO;2015;151
BARAJAS;2015;185
ARGANZUELA;2015;600
CIUDADLINEAL;2015;761
SALAMANCA;2016;951
PUENTEDEVALLECAS;2016;811
LATINA;2016;622
HORTALEZA;2016;472
VILLAVERDE;2016;336
CHAMARTIN;2016;904
RETIRO;2016;646
CENTRO;2016;932
MORATALAZ;2016;307
BARAJAS;2016;213
CHAMBERI;2016;647
CARABANCHEL;2016;725
VILLADEVALLECAS;2016;295
CIUDADLINEAL;2016;787
SANBLAS;2016;501
ARGANZUELA;2016;610
USERA;2016;412
FUENCARRAL-ELPARDO;2016;692
VICALVARO;2016;161
TETUAN;2016;653
MONCLOA-ARAVACA;2016;709
